Variant;Variant ID;Language;Feature name;Feature group;Position
" 10 oz";"935";"ru";"Размер";"";"0"
" 10.5 USA";"940";"ru";"Размер";"";"0"
" 12 oz";"922";"ru";"Размер";"";"0"
" 14 oz";"921";"ru";"Размер";"";"0"
" 16 oz";"918";"ru";"Размер";"";"0"
" 8 oz";"931";"ru";"Размер";"";"0"
" 9 USA";"942";"ru";"Размер";"";"0"
" 9.5 USA";"943";"ru";"Размер";"";"0"
" A1";"957";"ru";"Размер";"";"0"
" A1L";"959";"ru";"Размер";"";"0"
" A2";"960";"ru";"Размер";"";"0"
" L";"951";"ru";"Размер";"";"0"
" M";"945";"ru";"Размер";"";"0"
" S";"947";"ru";"Размер";"";"0"
" XL";"955";"ru";"Размер";"";"0"
" XS";"948";"ru";"Размер";"";"0"
"(25 шт - 4,5  х 7,5)";"407";"ru";"Размер";"";"0"
"-3.0";"626";"ru";"Размер";"";"0"
"-4.0";"624";"ru";"Размер";"";"0"
"-5.0";"625";"ru";"Размер";"";"0"
"0,3 см х 15 см х 180 см";"640";"ru";"Размер";"";"0"
"0,6 см х 15 см х 180 см";"641";"ru";"Размер";"";"0"
"1,2 м";"770";"ru";"Размер";"";"0"
"1,250 кг";"372";"ru";"Размер";"";"0"
"10";"335";"ru";"Размер";"";"0"
"10 oz";"645";"ru";"Размер";"";"0"
"10 oz+";"677";"ru";"Размер";"";"0"
"10 USA";"289";"ru";"Размер";"";"0"
"10 кг";"350";"ru";"Размер";"";"0"
"10 м";"255";"ru";"Размер";"";"0"
"10 см х 15 см";"780";"ru";"Размер";"";"0"
"10,0 см х 10,0 см х 0,5 см";"370";"ru";"Размер";"";"0"
"10,0 см х 10,0 см х 1,25 см";"371";"ru";"Размер";"";"0"
"10-29кг";"697";"ru";"Размер";"";"0"
"10.5 USA";"290";"ru";"Размер";"";"0"
"100";"382";"ru";"Размер";"";"0"
"100*35см";"597";"ru";"Размер";"";"0"
"100-110";"449";"ru";"Размер";"";"0"
"10oz LXL";"655";"ru";"Размер";"";"0"
"10oz SM";"656";"ru";"Размер";"";"0"
"11 USA";"300";"ru";"Размер";"";"0"
"11,4 гр";"460";"ru";"Размер";"";"0"
"11-13 лет";"790";"ru";"Размер";"";"0"
"11.5 USA";"472";"ru";"Размер";"";"0"
"11/12";"797";"ru";"Размер";"";"0"
"110";"384";"ru";"Размер";"";"0"
"110-120";"453";"ru";"Размер";"";"0"
"113 гр";"387";"ru";"Размер";"";"0"
"12";"344";"ru";"Размер";"";"0"
"12 oz";"319";"ru";"Размер";"";"0"
"12 USA";"473";"ru";"Размер";"";"0"
"12.5 USA";"470";"ru";"Размер";"";"0"
"120";"375";"ru";"Размер";"";"0"
"120 х 33 см";"559";"ru";"Размер";"";"0"
"120*30-45";"561";"ru";"Размер";"";"0"
"120-130";"450";"ru";"Размер";"";"0"
"128";"544";"ru";"Размер";"";"0"
"12oz";"672";"ru";"Размер";"";"0"
"12oz LXL";"650";"ru";"Размер";"";"0"
"12oz SM";"651";"ru";"Размер";"";"0"
"13 USA";"471";"ru";"Размер";"";"0"
"13,9 х19 см";"721";"ru";"Размер";"";"0"
"13-37кг";"771";"ru";"Размер";"";"0"
"13.5 USA";"508";"ru";"Размер";"";"0"
"13/14";"794";"ru";"Размер";"";"0"
"130";"376";"ru";"Размер";"";"0"
"130 x 70 см";"706";"ru";"Размер";"";"0"
"130-140";"451";"ru";"Размер";"";"0"
"135*50";"556";"ru";"Размер";"";"0"
"14";"345";"ru";"Размер";"";"0"
"14 oz";"320";"ru";"Размер";"";"0"
"14 USA";"474";"ru";"Размер";"";"0"
"14 м";"240";"ru";"Размер";"";"0"
"140";"377";"ru";"Размер";"";"0"
"140-150";"452";"ru";"Размер";"";"0"
"146";"546";"ru";"Размер";"";"0"
"14oz";"916";"ru";"Размер";"";"0"
"14oz LXL";"652";"ru";"Размер";"";"0"
"14oz SM";"653";"ru";"Размер";"";"0"
"15 кг";"351";"ru";"Размер";"";"0"
"15 м";"241";"ru";"Размер";"";"0"
"15 см х 25 см";"781";"ru";"Размер";"";"0"
"15,24 см х 30 см х 48 см";"642";"ru";"Размер";"";"0"
"150";"257";"ru";"Размер";"";"0"
"150 х 33 см";"557";"ru";"Размер";"";"0"
"150-160";"456";"ru";"Размер";"";"0"
"152";"545";"ru";"Размер";"";"0"
"155";"445";"ru";"Размер";"";"0"
"158";"548";"ru";"Размер";"";"0"
"15х23";"365";"ru";"Размер";"";"0"
"16 oz";"321";"ru";"Размер";"";"0"
"16 oz+";"670";"ru";"Размер";"";"0"
"16-37кг";"696";"ru";"Размер";"";"0"
"160";"378";"ru";"Размер";"";"0"
"164";"789";"ru";"Размер";"";"0"
"165";"446";"ru";"Размер";"";"0"
"16oz";"694";"ru";"Размер";"";"0"
"16oz LXL";"654";"ru";"Размер";"";"0"
"16oz SM";"671";"ru";"Размер";"";"0"
"17-54кг";"409";"ru";"Размер";"";"0"
"170";"379";"ru";"Размер";"";"0"
"175";"447";"ru";"Размер";"";"0"
"18 oz";"660";"ru";"Размер";"";"0"
"180";"380";"ru";"Размер";"";"0"
"180 см";"374";"ru";"Размер";"";"0"
"180 х 33 см";"558";"ru";"Размер";"";"0"
"180*35см";"598";"ru";"Размер";"";"0"
"185";"448";"ru";"Размер";"";"0"
"18х25";"366";"ru";"Размер";"";"0"
"190";"381";"ru";"Размер";"";"0"
"195";"455";"ru";"Размер";"";"0"
"2,5 кг";"373";"ru";"Размер";"";"0"
"2,5 м";"251";"ru";"Размер";"";"0"
"2,5 см х 10 м";"764";"ru";"Размер";"";"0"
"2,5 см х 5 м";"765";"ru";"Размер";"";"0"
"2,5 см х 9,14 м";"749";"ru";"Размер";"";"0"
"2,54 м";"256";"ru";"Размер";"";"0"
"2,75 м";"245";"ru";"Размер";"";"0"
"2,8 м";"720";"ru";"Размер";"";"0"
"2.5 м";"259";"ru";"Размер";"";"0"
"2.55м";"260";"ru";"Размер";"";"0"
